date,cases,week_mean_cases,tests,week_mean_tests,R_eff,sigma_cases,sigma_tests
2020-05-24,31,31.571428571428573,5494,6540.0,0.938873623161448,10.293647734086754,1614.426302348387
2020-05-25,25,27.857142857142858,3484,6668.142857142857,0.926024916567337,13.891709464163679,1561.0320238841473
2020-05-26,22,27.0,5844,6639.857142857143,0.887674681793208,14.222718245318449,1619.182812282738
2020-05-27,50,26.142857142857142,7521,6456.142857142857,0.906593207600568,14.67192237310602,1765.4119251059008
2020-05-28,19,26.571428571428573,8666,6321.714285714285,0.825663855981098,15.388837725137407,1714.2960833019742
2020-05-29,42,26.285714285714285,6930,6299.142857142857,0.915047608966838,15.544537724269079,1684.0546672982382
2020-05-30,32,29.857142857142858,7841,6449.571428571428,0.965029930130129,20.746280709209206,1778.09182288549
2020-05-31,5,29.714285714285715,6391,6252.714285714285,0.86903322989045,20.73447292185019,1687.0985841535937
2020-06-01,19,32.57142857142857,3286,5866.142857142857,0.800413373233928,18.375893703103397,1906.832933619171
2020-06-02,16,33.285714285714285,4558,6134.428571428572,0.805236563500385,17.92615236952733,1638.1221703212368
2020-06-03,53,33.142857142857146,6580,6363.285714285715,0.909247469989319,18.06676958577006,1508.6894704899835
2020-06-04,17,30.428571428571427,8508,6198.0,0.923891356154402,16.21161085551378,1538.9673717881647
2020-06-05,67,31.142857142857142,7983,5549.285714285715,1.069423763589,15.706491573582575,1377.0773102361925
2020-06-06,31,26.857142857142858,6463,5304.571428571428,1.07579118539366,7.039248568431382,1031.7572883390824
2020-06-07,25,25.571428571428573,3685,5009.142857142857,1.0593387994322,6.986868148935705,950.6448080226432
2020-06-08,24,24.571428571428573,5164,5034.714285714285,1.04425861256597,7.4805871209063115,916.4761261461852
2020-06-09,15,28.714285714285715,6160,4701.285714285715,0.9379818120343,12.417893606914705,1191.9568202013402
2020-06-10,34,29.285714285714285,5423,4539.857142857143,0.976968969721607,11.85283915010945,1051.7413354692749
2020-06-11,22,28.857142857142858,3967,4895.857142857143,0.934958015868562,11.728214715299309,1579.6751409769063
2020-06-12,37,30.285714285714285,6270,5088.0,0.961806496689792,11.410700312980492,1536.2097141062109
2020-06-13,22,32.42857142857143,4395,5078.428571428572,1.02232491798685,13.657621031676706,1529.0072275960033
2020-06-14,18,33.857142857142854,3864,5318.857142857143,1.02522708522524,12.999215046945515,1534.9485266913143
2020-06-15,53,35.42857142857143,2830,5106.285714285715,1.12037546078009,11.574073771730912,1801.5850730704349
2020-06-16,19,32.285714285714285,5030,5447.142857142857,1.01279441774007,9.098104758908947,1546.2968139185614
2020-06-17,31,35.714285714285715,7915,5681.857142857143,1.03140275207665,7.886956423909863,1589.263929224688
2020-06-18,32,36.285714285714285,5312,5424.142857142857,0.932036342950468,7.666518779999279,1331.6283725007438
2020-06-19,52,38.0,6203,5473.714285714285,0.990200197234827,7.855844048495726,1332.9890916160368
2020-06-20,32,41.142857142857146,6078,5473.142857142857,1.01823278043816,14.45612644648402,1332.6771582657466
2020-06-21,29,43.0,2376,5612.428571428572,1.03357368688897,13.98979219696582,1435.5930439212575
2020-06-22,31,47.714285714285715,5216,5990.857142857143,1.06945257932382,14.037849710329425,686.0484007439019
2020-06-23,43,50.285714285714285,6673,5796.428571428572,1.0783195734402,12.279067969682457,999.3927952430283
2020-06-24,35,58.57142857142857,6111,5754.714285714285,1.0900123969284,21.02282530188246,967.5202049253419
2020-06-25,44,67.14285714285714,5659,6040.285714285715,1.08202376564063,21.879073964659025,1276.2803895120621
2020-06-26,74,72.28571428571429,6199,6351.0,1.18053013864811,19.983666800052244,1403.9978632462373
2020-06-27,45,80.85714285714286,7053,6437.571428571428,1.2014934389903,29.48815050843581,1410.6239609419918
2020-06-28,62,89.57142857142857,5025,6454.857142857143,1.16516189999414,26.46214084232762,1418.7772832942585
2020-06-29,49,91.57142857142857,3855,6469.142857142857,1.17011683246547,24.778199766598654,1404.7421144691525
2020-06-30,101,94.42857142857143,6381,6818.571428571428,1.25465749007975,20.48593345170669,937.5446438349875
2020-07-01,95,93.0,8110,6770.428571428572,1.30293470416682,20.325915899237042,966.9685852694281
2020-07-02,80,96.28571428571429,7834,6764.857142857143,1.26034466359571,22.15990127436934,959.31633819856
2020-07-03,134,95.14285714285714,6805,6718.142857142857,1.33558982398207,23.154318149744594,912.9582103675671
2020-07-04,106,91.0,7174,6854.142857142857,1.34678852108988,17.80850519113991,983.9175965164429
2020-07-05,76,88.71428571428571,5125,7004.285714285715,1.29212822139873,16.730761110808402,1095.1710517782421
2020-07-06,69,85.28571428571429,6301,6990.857142857143,1.21999627471046,20.919671437697687,1118.4604761611802
2020-07-07,91,89.42857142857143,6044,6644.428571428572,1.1998608244301,20.141337328681903,1564.929013190864
2020-07-08,118,94.0,8071,6854.142857142857,1.21144230320227,23.35441224755124,1568.7722614080303
2020-07-09,72,95.71428571428571,7507,6867.571428571428,1.14218436923446,25.40367963062655,1579.4966519335796
2020-07-10,105,105.57142857142857,7757,7231.142857142857,1.14630821786183,27.58289916833639,1937.2327412775037
2020-07-11,90,108.28571428571429,8225,7275.571428571428,1.12516992203876,28.318163205740216,1952.2910246420636
2020-07-12,52,107.0,5031,7340.142857142857,1.08553543485472,29.306264566763588,1989.740932782918
2020-07-13,98,112.0,3876,7418.428571428572,1.04970495387915,21.420951025973213,1906.382727062123
2020-07-14,123,110.85714285714286,7512,13974.285714285714,1.05014257290739,22.331454891050434,14665.011457930215
